ID,CBSA,Alcohol,Marijuana,Heroine,Cokaine,Methaphetamine,Opiates,Patients,Metro_Areas,Total_population,Male_population,Female_population,Area_ID,Poverty_percent,Per_Capita,Agriculture_related,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_Warehouse,Information,Banking,Professional_Scientific_Management,Education_health_services
72,21660,709,451,227,17,361,121,1071,"Eugene, OR Metro Area",354764,174261,180503,21660,20.4,24720,3751,8217,14446,4900,19681,5624,3099,8193,15484,42619
73,21780,38,45,2,12,35,17,91,"Evansville, IN-KY Metro Area",313450,152404,161046,21780,14.8,25734,2283,8888,24630,3968,19375,7283,2730,7949,11367,35963
74,22020,712,520,60,46,346,119,1022,"Fargo, ND-MN Metro Area",218290,109607,108683,22020,12.7,29754,2977,8886,11089,5142,15545,5579,2077,9794,10511,33939
75,22140,133,65,16,11,51,7,156,"Farmington, NM Metro Area",127358,63149,64209,22140,21.5,21992,5914,3700,2192,1337,6587,3644,498,1796,3248,12231
76,22180,333,473,28,211,3,141,943,"Fayetteville, NC Metro Area",374036,182123,191913,22180,18,22647,990,7651,11466,1940,17780,5371,2171,5132,10003,37228
77,22220,368,314,29,23,264,335,749,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",483396,240613,242783,22220,16.4,25291,4740,14505,32960,5805,41603,11025,2812,10132,20310,44881
78,22420,1996,1698,844,1081,79,637,3712,"Flint, MI Metro Area",418654,201815,216839,22420,21.2,22536,837,7774,23770,3895,21411,6871,2221,7560,12887,41598
79,22660,1637,1242,287,262,893,313,2677,"Fort Collins, CO Metro Area",311435,154964,156471,22660,13.7,31082,3856,10202,15319,3151,19160,5292,3189,8619,19655,39854
80,22900,292,230,2,5,201,143,514,"Fort Smith, AR-OK Metro Area",280394,138326,142068,22900,22,21237,4250,7282,19318,3000,13701,6452,1406,4680,6436,28406
81,23420,1946,2434,1599,338,2688,506,6402,"Fresno, CA Metro Area",948844,473427,475417,23420,27.4,20231,37906,19715,26361,14769,39967,17707,4811,18547,31004,85448
82,24020,869,682,317,310,6,345,1326,"Glens Falls, NY Metro Area",128298,64393,63905,24020,12.5,27335,1379,4925,7113,1175,8077,2248,949,3045,4286,14948
83,24140,1576,1290,123,641,61,619,3886,"Goldsboro, NC Metro Area",124093,60944,63149,24140,22.5,21818,3179,2586,7407,2321,5470,2011,841,1730,2670,11850
84,24300,1837,893,103,122,692,164,2395,"Grand Junction, CO Metro Area",147509,73346,74163,24300,15.8,26518,4882,4804,3515,1729,8859,3639,1308,4012,5845,15657
85,24340,4014,2592,1041,1362,234,1072,6800,"Grand Rapids-Wyoming, MI Metro Area",1007329,496824,510505,24340,14.2,25786,7339,24140,97695,18137,53772,16987,7352,26233,42665,108653
86,24660,983,1469,208,645,42,452,2949,"Greensboro-High Point, NC Metro Area",735777,353165,382612,24660,18,24619,2096,18226,56159,11976,41509,17111,5792,21544,29550,75274
87,24780,716,596,322,424,19,501,1721,"Greenville, NC Metro Area",172438,81322,91116,24780,24,23439,859,4394,8549,2052,9262,2341,1213,3699,5084,26198
88,25060,266,183,29,83,88,173,573,"Gulfport-Biloxi-Pascagoula, MS Metro Area",378972,187379,191593,25060,18.3,23006,2122,12582,17759,2933,19293,7595,1941,8453,11495,31139
89,25180,670,520,536,326,5,382,1357,"Hagerstown-Martinsburg, MD-WV Metro Area",256237,128750,127487,25180,13.5,26898,1389,7849,11015,3033,15040,7737,2692,8063,10335,25278
90,25220,3,1,2,2,1,3,98,"Hammond, LA Metro Area",124125,60214,63911,25220,21.7,21262,1381,4820,4930,1355,6979,2398,592,2538,3363,13366
91,25260,124,261,19,12,236,14,442,"Hanford-Corcoran, CA Metro Area",151390,84233,67157,25260,22.7,18518,8239,1900,4169,1384,4189,1856,444,1284,3089,10748
92,25420,494,343,354,160,13,132,1213,"Harrisburg-Carlisle, PA Metro Area",555154,271491,283663,25420,11.2,30404,2835,13962,22436,8421,32793,17088,3759,21614,27175,62465
93,25500,288,248,18,59,106,68,412,"Harrisonburg, VA Metro Area",128166,61377,66789,25500,18.8,23819,2198,4348,7772,1172,7505,2312,821,2678,4347,15941
94,25540,11618,7713,11063,7367,96,1909,25873,"Hartford-West Hartford-East Hartford, CT Metro Area",1215159,592094,623065,25540,10.7,35991,2075,30612,65768,15529,64058,23415,14364,64661,62723,160239
95,25620,82,52,9,38,33,60,163,"Hattiesburg, MS Metro Area",146370,70323,76047,25620,22.8,22269,1913,4149,6359,1490,8058,2727,484,3249,3877,18432
96,25860,543,394,40,144,104,357,1330,"Hickory-Lenoir-Morganton, NC Metro Area",363936,180006,183930,25860,18,21385,1728,8320,38684,5563,17131,7068,1529,5755,9786,34558
97,26380,16,22,15,7,3,10,39,"Houma-Thibodaux, LA Metro Area",209402,103596,105806,26380,16.5,24469,10473,7744,9065,2504,10957,6497,1080,4036,6009,17242
98,26420,3374,3770,342,2056,802,903,7513,"Houston-The Woodlands-Sugar Land, TX Metro Area",6204141,3083945,3120196,26420,16.3,29594,101337,260920,313237,105509,314158,174290,39767,168550,364515,581143
99,26580,332,328,123,55,48,445,819,"Huntington-Ashland, WV-KY-OH Metro Area",364514,178081,186433,26580,18.8,23326,2641,8490,13586,3701,20410,8437,3078,5726,10807,42381
